City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Laguna,US,2020-04-15 22:48:25,38.42,-121.42,84.99,29,1,6.93
114,Qaanaaq,GL,2020-04-15 22:47:57,77.48,-69.36,6.57,88,56,1.9
115,Alofi,NU,2020-04-15 22:48:25,-19.06,-169.92,84.2,66,75,9.17
116,At-Bashi,KG,2020-04-15 22:48:25,41.17,75.81,40.26,37,100,1.25
117,Victoria,HK,2020-04-15 22:47:17,22.29,114.16,71.01,77,20,3.36
118,Darnah,LY,2020-04-15 22:48:26,32.77,22.64,60.19,76,50,22.26
119,Saskylakh,RU,2020-04-15 22:48:26,71.92,114.08,-2.7,91,99,6.55
120,Yulara,AU,2020-04-15 22:48:26,-25.24,130.99,66.2,25,59,9.17
121,Miri,MY,2020-04-15 22:48:26,4.41,114.01,75.2,100,75,4.36
122,Nakhon Phanom,TH,2020-04-15 22:48:26,17.41,104.78,75.0,79,98,4.43
123,Inuvik,CA,2020-04-15 22:48:27,68.35,-133.72,42.8,48,75,2.24
124,Te Anau,NZ,2020-04-15 22:48:27,-45.42,167.72,52.36,57,44,8.41
125,Venado,MX,2020-04-15 22:46:04,22.93,-101.08,76.87,21,34,10.4
126,Mitsamiouli,KM,2020-04-15 22:48:27,-11.38,43.28,83.14,76,83,11.65
127,Montepuez,MZ,2020-04-15 22:48:28,-13.13,39.0,67.86,86,21,3.56
128,Cabedelo,BR,2020-04-15 22:48:28,-6.98,-34.83,78.8,94,42,3.36
129,Norman Wells,CA,2020-04-15 22:47:34,65.28,-126.83,42.8,48,75,9.17
130,Pozo Colorado,PY,2020-04-15 22:48:28,-23.49,-58.8,61.95,47,0,3.44
131,Tromso,NO,2020-04-15 22:48:28,69.65,18.96,32.0,94,75,12.75
132,Batemans Bay,AU,2020-04-15 22:48:29,-35.72,150.18,73.99,58,100,9.53
133,Tasiilaq,GL,2020-04-15 22:48:29,65.61,-37.64,28.4,86,95,3.36
134,Igarka,RU,2020-04-15 22:48:29,67.47,86.58,21.33,95,42,8.63
135,Cururupu,BR,2020-04-15 22:48:29,-1.83,-44.87,76.75,90,100,2.77
136,Champerico,GT,2020-04-15 22:48:30,14.3,-91.92,86.14,63,63,2.48
137,Valdemarpils,LV,2020-04-15 22:48:30,57.37,22.59,46.4,87,71,17.22
138,Hilo,US,2020-04-15 22:48:30,19.73,-155.09,82.4,54,75,10.29
139,Dawei,MM,2020-04-15 22:48:30,14.08,98.2,79.34,77,85,4.18
140,Gueret,FR,2020-04-15 22:48:31,46.17,1.87,59.0,54,69,9.17
141,Qasigiannguit,GL,2020-04-15 22:48:31,68.82,-51.19,28.4,58,99,3.36
142,Kapaa,US,2020-04-15 22:48:03,22.08,-159.32,80.6,74,20,11.41
143,Karasuk,RU,2020-04-15 22:48:31,53.74,78.04,39.56,78,37,9.37
144,Caravelas,BR,2020-04-15 22:48:31,-17.71,-39.25,78.28,85,68,7.52
145,Bago,MM,2020-04-15 22:48:32,17.34,96.48,73.04,82,55,4.63
146,Mabaruma,GY,2020-04-15 22:48:32,8.2,-59.78,75.99,82,43,6.11
147,Anantnag,IN,2020-04-15 22:44:32,33.73,75.15,50.86,32,55,3.11
148,Cabra,ES,2020-04-15 22:48:32,37.47,-4.44,59.0,93,2,3.36
149,Chokurdakh,RU,2020-04-15 22:48:33,70.63,147.92,-1.77,91,100,8.34
150,Usinsk,RU,2020-04-15 22:47:39,65.99,57.53,32.63,92,87,10.45
151,Klaksvik,FO,2020-04-15 22:47:44,62.23,-6.59,41.0,70,38,16.11
152,Itigi,TZ,2020-04-15 22:48:33,-5.7,34.48,63.37,66,84,6.22
153,Katsuura,JP,2020-04-15 22:48:34,35.13,140.3,55.99,81,75,16.11
154,Mazatlan,MX,2020-04-15 22:48:34,23.22,-106.42,84.2,23,5,8.05
155,Severo-Kurilsk,RU,2020-04-15 22:48:34,50.68,156.12,32.85,92,100,14.7
156,Dunaszentgyorgy,HU,2020-04-15 22:48:34,46.53,18.82,41.68,62,0,6.02
157,Charters Towers,AU,2020-04-15 22:48:35,-20.1,146.27,77.58,54,3,7.67
158,Sahuaripa,MX,2020-04-15 22:48:35,29.05,-109.23,85.59,12,0,11.39
159,Praia Da Vitoria,PT,2020-04-15 22:45:52,38.73,-27.07,55.4,82,40,18.81
160,Dikson,RU,2020-04-15 22:48:35,73.51,80.55,4.71,84,58,3.13
161,Floro,NO,2020-04-15 22:48:36,61.6,5.03,42.8,70,68,16.11
162,Smolenka,RU,2020-04-15 22:48:36,52.14,113.5,26.6,68,29,1.41
163,Blenheim,NZ,2020-04-15 22:48:36,-41.52,173.95,62.01,61,11,9.37
164,Mayo,US,2020-04-15 22:48:36,38.89,-76.51,54.0,40,1,10.29
165,Mana,GF,2020-04-15 22:48:37,5.66,-53.78,76.08,80,2,5.7
166,Kodiak,US,2020-04-15 22:47:44,57.79,-152.41,48.2,81,75,5.82
167,Lompoc,US,2020-04-15 22:44:02,34.64,-120.46,77.0,63,1,13.87
168,Upernavik,GL,2020-04-15 22:48:37,72.79,-56.15,15.64,89,61,7.18
169,Bengkulu,ID,2020-04-15 22:45:07,-3.8,102.27,78.49,81,87,4.38
170,Tilichiki,RU,2020-04-15 22:48:38,60.47,166.1,21.74,95,26,5.57
171,Castro,BR,2020-04-15 22:43:40,-24.79,-50.01,50.99,43,0,0.43
172,Cidreira,BR,2020-04-15 22:48:10,-30.18,-50.21,66.99,56,59,20.49
173,Vao,NC,2020-04-15 22:48:18,-22.67,167.48,74.57,74,64,15.95
174,Sao Jose Da Coroa Grande,BR,2020-04-15 22:48:38,-8.9,-35.15,80.69,82,18,7.56
175,Byron Bay,AU,2020-04-15 22:48:39,-28.65,153.62,75.99,88,3,3.36
176,Augusto Correa,BR,2020-04-15 22:48:39,-1.02,-46.63,75.0,92,100,2.15
