City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
84,Vestmannaeyjar,IS,2020-04-20 00:15:01,63.44,-20.27,46.08,93,100,28.1,light rain,0.2,0.0
85,Port Lincoln,AU,2020-04-20 00:15:01,-34.73,135.87,62.22,58,100,15.35,overcast clouds,0.0,0.0
86,Klaksvik,FO,2020-04-20 00:14:54,62.23,-6.59,41.0,93,1,11.41,clear sky,0.0,0.0
87,Halifax,CA,2020-04-20 00:11:15,44.65,-63.57,43.0,40,0,6.53,clear sky,0.0,0.0
88,Dikson,RU,2020-04-20 00:15:02,73.51,80.55,34.48,89,90,22.77,overcast clouds,0.0,0.0
89,Upernavik,GL,2020-04-20 00:15:02,72.79,-56.15,26.91,84,94,26.26,overcast clouds,0.0,0.0
90,San Matias,BO,2020-04-20 00:15:03,-16.37,-58.4,77.02,77,61,2.26,broken clouds,0.0,0.0
91,Santa Rosa,PH,2020-04-20 00:15:03,14.31,121.11,88.0,66,20,4.7,few clouds,0.0,0.0
92,Linares,CL,2020-04-20 00:15:03,-35.85,-71.6,59.74,39,80,6.4,broken clouds,0.0,0.0
93,Luderitz,NA,2020-04-20 00:10:49,-26.65,15.16,60.8,87,0,8.05,clear sky,0.0,0.0
94,Flinders,AU,2020-04-20 00:15:03,-34.58,150.86,64.0,62,100,4.99,overcast clouds,0.0,0.0
95,Thompson,CA,2020-04-20 00:15:04,55.74,-97.86,23.0,85,90,10.29,light snow,0.0,0.0
96,Byron Bay,AU,2020-04-20 00:15:04,-28.65,153.62,72.0,56,1,8.05,clear sky,0.0,0.0
97,Caloundra,AU,2020-04-20 00:12:25,-26.8,153.13,75.0,60,0,3.0,clear sky,0.0,0.0
98,Balkhash,KZ,2020-04-20 00:15:04,46.84,74.98,55.45,36,0,9.44,clear sky,0.0,0.0
99,Awjilah,LY,2020-04-20 00:15:05,29.11,21.29,71.08,24,32,8.59,scattered clouds,0.0,0.0
100,Kinshasa,CD,2020-04-20 00:15:05,-4.32,15.32,78.8,78,40,6.93,scattered clouds,0.0,0.0
101,Hilo,US,2020-04-20 00:12:20,19.73,-155.09,82.4,51,1,12.75,clear sky,0.0,0.0
102,Pevek,RU,2020-04-20 00:12:08,69.7,170.31,9.91,94,100,6.98,light snow,0.0,0.14
103,Mar Del Plata,AR,2020-04-20 00:12:41,-38.0,-57.56,66.2,82,29,6.93,scattered clouds,0.0,0.0
104,Cabo San Lucas,MX,2020-04-20 00:12:07,22.89,-109.91,78.8,44,5,8.05,clear sky,0.0,0.0
105,Provideniya,RU,2020-04-20 00:12:08,64.38,-173.3,22.44,95,100,14.94,light snow,0.0,0.66
106,Saint-Augustin,CA,2020-04-20 00:15:06,51.23,-58.65,28.63,98,100,15.05,light snow,0.0,0.64
107,Asau,RO,2020-04-20 00:15:06,46.43,26.4,46.4,81,75,8.05,broken clouds,0.0,0.0
108,Oistins,BB,2020-04-20 00:10:41,13.07,-59.53,80.6,69,20,19.46,few clouds,0.0,0.0
109,Naze,JP,2020-04-20 00:12:21,28.37,129.48,68.0,72,40,12.75,scattered clouds,0.0,0.0
110,Kodinsk,RU,2020-04-20 00:15:07,58.69,99.18,29.77,88,0,3.69,clear sky,0.0,0.0
111,Kaduqli,SD,2020-04-20 00:15:07,11.02,29.72,77.7,15,84,5.7,broken clouds,0.0,0.0
112,Dharchula,IN,2020-04-20 00:15:08,29.85,80.53,52.99,30,91,8.88,overcast clouds,0.0,0.0
113,Bonavista,CA,2020-04-20 00:10:38,48.65,-53.11,32.4,96,100,39.48,moderate rain,5.06,0.0
114,Vostok,RU,2020-04-20 00:15:08,46.49,135.88,43.72,45,100,7.34,overcast clouds,0.0,0.0
